timestamp,location-long,location-lat,individual-local-identifier,species,species_id
2014-01-09T23:34:59,-58.47,-38.25,H974,Barn Swallow,2
2014-01-12T23:44:37,-58.47,-38.25,H974,Barn Swallow,2
2014-01-14T23:52:44,-58.47,-38.25,H974,Barn Swallow,2
2014-01-15T08:16:13,-58.47,-38.25,H974,Barn Swallow,2
2014-01-15T23:46:40,-58.47,-38.25,H974,Barn Swallow,2
2014-01-16T08:18:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-16T23:51:40,-58.47,-38.25,H974,Barn Swallow,2
2014-01-17T08:23:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-17T23:52:44,-58.47,-38.25,H974,Barn Swallow,2
2014-01-18T08:26:21,-58.47,-38.25,H974,Barn Swallow,2
2014-01-18T23:43:45,-58.47,-38.25,H974,Barn Swallow,2
2014-01-19T08:27:41,-58.47,-38.25,H974,Barn Swallow,2
2014-01-19T23:46:32,-58.47,-38.25,H974,Barn Swallow,2
2014-01-20T08:33:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-20T23:39:11,-58.47,-38.25,H974,Barn Swallow,2
2014-01-21T08:28:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-21T23:51:29,-58.47,-38.25,H974,Barn Swallow,2
2014-01-22T08:27:30,-58.47,-38.25,H974,Barn Swallow,2
2014-01-22T23:40:03,-58.47,-38.25,H974,Barn Swallow,2
2014-01-23T08:36:24,-58.47,-38.25,H974,Barn Swallow,2
2014-01-23T23:31:32,-58.47,-38.25,H974,Barn Swallow,2
2014-01-24T08:37:50,-58.47,-38.25,H974,Barn Swallow,2
2014-01-24T23:41:40,-58.47,-38.25,H974,Barn Swallow,2
2014-01-25T08:31:13,-58.47,-38.25,H974,Barn Swallow,2
2014-01-25T23:43:45,-58.47,-38.25,H974,Barn Swallow,2
2014-01-26T08:26:21,-58.47,-38.25,H974,Barn Swallow,2
2014-01-26T23:46:40,-58.47,-38.25,H974,Barn Swallow,2
2014-01-27T08:36:21,-58.47,-38.25,H974,Barn Swallow,2
2014-01-27T23:38:21,-58.47,-38.25,H974,Barn Swallow,2
2014-01-28T08:38:04,-58.47,-38.25,H974,Barn Swallow,2
2014-01-28T23:39:28,-58.47,-38.25,H974,Barn Swallow,2
2014-01-29T08:43:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-29T23:41:32,-58.47,-38.25,H974,Barn Swallow,2
2014-01-30T08:43:25,-58.47,-38.25,H974,Barn Swallow,2
2014-01-30T23:37:44,-58.47,-38.25,H974,Barn Swallow,2
2014-01-31T08:36:13,-58.47,-38.25,H974,Barn Swallow,2
2014-01-31T23:34:49,-58.47,-38.25,H974,Barn Swallow,2
2014-02-01T08:44:08,-58.47,-38.25,H974,Barn Swallow,2
2014-02-01T23:35:03,-58.47,-38.25,H974,Barn Swallow,2
2014-02-02T08:47:50,-58.47,-38.25,H974,Barn Swallow,2
2014-02-02T23:36:32,-58.47,-38.25,H974,Barn Swallow,2
2014-02-03T08:48:25,-58.47,-38.25,H974,Barn Swallow,2
2014-02-03T23:32:44,-58.47,-38.25,H974,Barn Swallow,2
2014-02-04T08:44:32,-58.47,-38.25,H974,Barn Swallow,2
2014-02-04T23:31:32,-58.47,-38.25,H974,Barn Swallow,2
2014-02-05T23:29:28,-58.47,-38.25,H974,Barn Swallow,2
2014-02-06T08:51:21,-58.47,-38.25,H974,Barn Swallow,2
2014-02-06T23:33:21,-58.47,-38.25,H974,Barn Swallow,2
2014-02-07T08:51:21,-58.47,-38.25,H974,Barn Swallow,2
2014-02-07T23:28:45,-58.47,-38.25,H974,Barn Swallow,2
2014-02-08T08:48:25,-58.47,-38.25,H974,Barn Swallow,2
2014-02-08T23:24:28,-58.47,-38.25,H974,Barn Swallow,2
2014-02-09T08:51:21,-58.47,-38.25,H974,Barn Swallow,2
2014-02-09T23:27:11,-58.47,-38.25,H974,Barn Swallow,2
2014-02-10T08:51:21,-58.47,-38.25,H974,Barn Swallow,2
2014-02-10T23:26:29,-58.47,-38.25,H974,Barn Swallow,2
2014-02-11T08:57:10,-58.47,-38.25,H974,Barn Swallow,2
2014-02-11T23:18:59,-58.47,-38.25,H974,Barn Swallow,2
2014-02-12T08:46:24,-54.16,-36.0,H974,Barn Swallow,2
2014-02-12T22:56:32,-52.51,-33.3,H974,Barn Swallow,2
2014-02-13T08:52:50,-52.74,-33.3,H974,Barn Swallow,2
2014-02-13T22:46:32,-52.51,-33.3,H974,Barn Swallow,2
2014-02-14T08:47:52,-52.51,-33.3,H974,Barn Swallow,2
