species,species_id,individual-local-identifier,date,daily_dist_km,avg_speed_kmh,max_speed_kmh,pct_migrating
Barn Swallow,2,H988,2014-09-18,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-12,50.037716990051415,1.975173039080977,3.950346078161954,0.0
Barn Swallow,2,H989,2014-03-02,730.8117503002363,29.064663441971923,43.897485042537824,50.0
Barn Swallow,2,H980,2014-09-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-03-16,100.07543398010264,3.9050441406530547,7.810088281306109,0.0
Barn Swallow,2,H989,2014-03-29,715.3287517646515,30.274394372934683,46.014229430101736,50.0
Barn Swallow,2,H980,2014-06-20,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-07-23,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-09-11,1.0725389138039445,0.04191697342091539,0.08383394684183078,0.0
Barn Swallow,2,H987,2014-07-24,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-06-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-08-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-02-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-02-12,792.6656322774545,36.00118043988742,48.28745785278069,100.0
Barn Swallow,2,H988,2014-01-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-03-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-07-06,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-03-17,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-06-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-07-26,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-08-08,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-07-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-09-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H987,2014-07-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-04-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-03-11,1.9052528307339172,0.08751288903034223,0.17502577806068445,0.0
