timestamp,location-long,location-lat,individual-local-identifier,species,species_id
2013-03-07T07:15:09,175.21,-40.47,CEU,Red Knot,4
2013-03-23T20:16:03,136.920329,-5.387223234,CEU,Red Knot,4
2013-04-26T17:18:15,119.7314542,29.87908964,CEU,Red Knot,4
2013-05-01T19:18:14,117.4979792,35.55820256,CEU,Red Knot,4
2013-05-19T16:39:17,163.12215,63.22127506,CEU,Red Knot,4
2013-07-19T02:19:44,-177.9361691,66.9346961,CEU,Red Knot,4
2013-08-07T07:21:14,136.5614647,48.19260917,CEU,Red Knot,4
2013-08-13T08:08:32,121.307868,40.16214021,CEU,Red Knot,4
2013-08-26T20:53:19,121.5179016,37.19901629,CEU,Red Knot,4
2013-09-06T08:13:12,133.603021,-1.967549502,CEU,Red Knot,4
2013-09-11T09:14:29,139.7974454,-6.188888119,CEU,Red Knot,4
2013-09-21T02:39:03,140.6338508,-19.56316309,CEU,Red Knot,4
2013-10-26T21:59:31,175.21,-40.47,CEU,Red Knot,4
2013-03-10T07:23:08,175.21,-40.47,CEZ,Red Knot,4
2013-03-29T16:38:25,140.256925,-17.06699748,CEZ,Red Knot,4
2013-06-06T20:46:26,117.2935086,24.12441856,CEZ,Red Knot,4
2013-06-12T11:41:22,124.1988011,37.75845451,CEZ,Red Knot,4
2013-08-16T06:49:00,121.9779794,36.87763015,CEZ,Red Knot,4
2013-09-19T20:21:55,140.9457429,-16.95104375,CEZ,Red Knot,4
2013-10-18T16:39:00,151.1666735,-25.04642819,CEZ,Red Knot,4
2013-10-31T16:31:48,175.21,-40.47,CEZ,Red Knot,4
2013-03-10T07:22:15,175.21,-40.47,EAA,Red Knot,4
2013-03-26T20:28:04,137.0767584,-10.12266221,EAA,Red Knot,4
2013-04-27T21:30:32,119.6853847,16.80090584,EAA,Red Knot,4
2013-05-03T07:51:17,117.8501852,35.93373568,EAA,Red Knot,4
2013-05-14T00:21:17,122.5436052,37.87579524,EAA,Red Knot,4
2013-07-14T01:59:30,142.3188832,48.96018734,EAA,Red Knot,4
2013-07-25T11:28:07,120.8042814,30.67927682,EAA,Red Knot,4
2013-08-27T09:35:54,136.9608251,1.636953431,EAA,Red Knot,4
2013-09-01T09:15:13,139.2336252,-7.111010286,EAA,Red Knot,4
2013-09-24T19:25:39,153.0436428,-26.80344705,EAA,Red Knot,4
2013-10-24T10:42:56,174.4414868,-35.05337845,EAA,Red Knot,4
2013-11-03T02:25:55,175.21,-40.47,EAA,Red Knot,4
2013-03-10T07:17:18,175.21,-40.47,EAB,Red Knot,4
2013-03-26T08:51:45,137.2820157,-3.964659536,EAB,Red Knot,4
2013-04-27T17:09:33,120.3885787,23.27449586,EAB,Red Knot,4
2013-05-04T20:55:26,118.82433,40.19148904,EAB,Red Knot,4
2013-05-21T00:39:58,-176.56,66.15,EAB,Red Knot,4
2013-07-25T01:17:03,156.1769574,56.82889891,EAB,Red Knot,4
2013-08-03T03:53:18,142.6626351,50.21586759,EAB,Red Knot,4
2013-08-14T08:56:38,121.9743221,37.95631073,EAB,Red Knot,4
2013-09-10T08:55:10,140.4807574,-5.591492878,EAB,Red Knot,4
2013-10-01T20:04:33,152.6586008,-30.4808521,EAB,Red Knot,4
2013-10-23T06:10:39,175.21,-40.47,EAB,Red Knot,4
2013-03-10T07:11:11,175.21,-40.47,EAP,Red Knot,4
2013-04-07T08:33:43,138.0522181,-2.010807063,EAP,Red Knot,4
2013-05-16T20:53:58,121.0608873,17.97241433,EAP,Red Knot,4
2013-05-25T04:52:06,117.5854611,36.15624687,EAP,Red Knot,4
2013-07-20T03:30:51,117.5269662,35.73813239,EAP,Red Knot,4
2013-08-21T12:19:21,118.8202497,32.2605201,EAP,Red Knot,4
2013-08-30T15:18:58,133.8532812,-2.549164432,EAP,Red Knot,4
2013-09-21T01:19:40,140.7166063,-23.04039108,EAP,Red Knot,4
2013-10-11T09:05:01,145.6213594,-40.18801427,EAP,Red Knot,4
2013-10-22T15:52:06,145.4095676,-40.16056633,EAP,Red Knot,4
2013-11-05T00:29:06,175.21,-40.47,EAP,Red Knot,4
2013-03-10T07:24:15,175.21,-40.47,EAX,Red Knot,4
2013-03-26T08:50:40,136.9081176,-11.07657639,EAX,Red Knot,4
2013-04-29T20:52:40,121.4831565,21.49663466,EAX,Red Knot,4
2013-05-05T07:27:15,117.6158837,35.78771911,EAX,Red Knot,4
2013-07-17T04:58:45,118.3640881,47.60877745,EAX,Red Knot,4
2013-07-21T03:21:00,118.9844038,38.16624625,EAX,Red Knot,4
