country,country_code,continent,season,season_label,season_pop_pct,peak_pop_pct,days_occupied,peak_week
Ireland,IRL,Europe,prebreeding_migration,Pre-breeding Migration,0.058,1.184,105,2023-03-01
Iceland,ISL,Europe,breeding,Breeding,0.324,0.54,28,2023-06-14
Iceland,ISL,Europe,postbreeding_migration,Post-breeding Migration,0.939,7.718,98,2023-07-19
Iceland,ISL,Europe,prebreeding_migration,Pre-breeding Migration,1.814,4.347,56,2023-05-17
Italy,ITA,Europe,postbreeding_migration,Post-breeding Migration,0.015,0.098,35,2023-09-13
Jersey,JEY,Europe,nonbreeding,Non-breeding,0.01,0.024,56,2023-01-11
Japan,JPN,Asia,postbreeding_migration,Post-breeding Migration,0.052,0.343,35,2023-08-30
Cambodia,KHM,Asia,postbreeding_migration,Post-breeding Migration,0.021,0.038,21,2023-09-06
South Korea,KOR,Asia,postbreeding_migration,Post-breeding Migration,0.668,2.71,63,2023-08-16
South Korea,KOR,Asia,prebreeding_migration,Pre-breeding Migration,0.345,0.889,49,2023-04-12
Lithuania,LTU,Europe,postbreeding_migration,Post-breeding Migration,0.014,0.073,84,2023-07-19
Latvia,LVA,Europe,postbreeding_migration,Post-breeding Migration,0.038,0.13,77,2023-08-23
Morocco,MAR,Africa,nonbreeding,Non-breeding,0.003,0.009,0,2023-12-27
Morocco,MAR,Africa,postbreeding_migration,Post-breeding Migration,0.046,0.086,35,2023-09-27
Morocco,MAR,Africa,prebreeding_migration,Pre-breeding Migration,0.004,0.036,0,2023-04-05
Mexico,MEX,North America,nonbreeding,Non-breeding,0.83,2.807,35,2023-01-25
Mexico,MEX,North America,postbreeding_migration,Post-breeding Migration,4.341,10.601,98,2023-11-29
Mexico,MEX,North America,prebreeding_migration,Pre-breeding Migration,0.398,5.508,35,2023-03-29
Myanmar,MMR,Asia,postbreeding_migration,Post-breeding Migration,0.002,0.02,0,2023-09-06
Mauritania,MRT,Africa,nonbreeding,Non-breeding,1.362,1.504,21,2023-01-25
Malaysia,MYS,Asia,nonbreeding,Non-breeding,0.045,0.061,21,2023-01-11
Malaysia,MYS,Asia,postbreeding_migration,Post-breeding Migration,0.044,0.066,56,2023-08-30
Malaysia,MYS,Asia,prebreeding_migration,Pre-breeding Migration,0.019,0.119,42,2023-04-05
Nicaragua,NIC,North America,nonbreeding,Non-breeding,0.009,0.028,21,2023-02-01
Northern Ireland,NIR,Europe,breeding,Breeding,0.109,0.185,28,2023-06-21
Northern Ireland,NIR,Europe,nonbreeding,Non-breeding,1.043,1.285,63,2023-01-04
Northern Ireland,NIR,Europe,postbreeding_migration,Post-breeding Migration,0.241,0.943,168,2023-12-20
Northern Ireland,NIR,Europe,prebreeding_migration,Pre-breeding Migration,0.015,0.299,105,2023-03-01
Netherlands,NLD,Europe,breeding,Breeding,9.711,15.767,28,2023-06-21
Netherlands,NLD,Europe,nonbreeding,Non-breeding,0.777,1.209,63,2023-02-08
Netherlands,NLD,Europe,postbreeding_migration,Post-breeding Migration,2.277,10.173,168,2023-10-18
Netherlands,NLD,Europe,prebreeding_migration,Pre-breeding Migration,0.14,3.813,105,2023-06-07
