timestamp,location-long,location-lat,individual-local-identifier,species,species_id
2013-03-02T00:00:00,175.36,-40.78,6YBWW,Bar-tailed Godwit,5
2013-03-27T10:25:32,123.885096851255,40.0853041211015,6YBWW,Bar-tailed Godwit,5
2013-05-20T00:00:00,-161.6666667,56.453125,6YBWW,Bar-tailed Godwit,5
2013-05-27T00:00:00,-153.0,69.109375,6YBWW,Bar-tailed Godwit,5
2013-07-14T00:00:00,-166.3333333,59.828125,6YBWW,Bar-tailed Godwit,5
2013-08-17T00:00:00,-159.6666667,55.609375,6YBWW,Bar-tailed Godwit,5
2013-10-11T17:35:32,175.36,-40.78,6YBWW,Bar-tailed Godwit,5
2014-03-01T00:00:00,175.36,-40.78,6YRWB,Bar-tailed Godwit,5
2014-04-18T15:27:12,123.89886853162,40.0149703407984,6YRWB,Bar-tailed Godwit,5
2014-05-14T00:00:00,-165.0,61.234375,6YRWB,Bar-tailed Godwit,5
2014-05-22T00:00:00,-157.0,68.265625,6YRWB,Bar-tailed Godwit,5
2014-06-27T00:00:00,-161.6666667,58.796875,6YRWB,Bar-tailed Godwit,5
2014-09-24T18:06:55,175.36,-40.78,6YRWB,Bar-tailed Godwit,5
2014-03-01T00:00:00,175.36,-40.78,6YRWY,Bar-tailed Godwit,5
2014-03-21T09:14:34,121.947969664735,31.5865677720113,6YRWY,Bar-tailed Godwit,5
2014-03-29T09:39:34,123.542533151557,40.0979579441712,6YRWY,Bar-tailed Godwit,5
2014-05-05T12:00:00,-163.6666667,59.921875,6YRWY,Bar-tailed Godwit,5
2014-09-12T18:00:48,175.36,-40.78,6YRWY,Bar-tailed Godwit,5
2014-02-25T00:00:00,175.36,-40.78,6YWRW,Bar-tailed Godwit,5
2014-03-19T21:11:55,123.584714418576,40.1436094020942,6YWRW,Bar-tailed Godwit,5
2014-05-04T00:00:00,-163.0,55.140625,6YWRW,Bar-tailed Godwit,5
2014-05-11T00:00:00,-166.3333333,59.828125,6YWRW,Bar-tailed Godwit,5
2014-09-26T06:34:03,175.36,-40.78,6YWRW,Bar-tailed Godwit,5
2014-03-01T00:00:00,169.73,-46.47,R3BRRW,Bar-tailed Godwit,5
2014-03-17T21:25:58,125.395341185474,37.1256850796874,R3BRRW,Bar-tailed Godwit,5
2014-05-21T00:00:00,-164.3333333,59.921875,R3BRRW,Bar-tailed Godwit,5
2014-09-07T00:00:00,-165.0,54.078125,R3BRRW,Bar-tailed Godwit,5
2014-09-27T06:50:09,169.73,-46.47,R3BRRW,Bar-tailed Godwit,5
2014-02-18T00:00:00,169.73,-46.47,R3BRYY,Bar-tailed Godwit,5
2014-03-13T21:42:00,120.555636318945,40.3604828543763,R3BRYY,Bar-tailed Godwit,5
2014-05-05T00:00:00,-165.4176357,58.7419686804676,R3BRYY,Bar-tailed Godwit,5
2014-09-28T06:57:50,169.73,-46.47,R3BRYY,Bar-tailed Godwit,5
