species,species_id,colour,region_name,region_code,continent_name,season,season_label,season_pop_pct,peak_pop_pct,range_days_occupation,max_week
Grey Plover,1,#e8a87c,Brunei,BRN,Asia,nonbreeding,Non-breeding,0.052,0.114,98,2023-02-15
Grey Plover,1,#e8a87c,Brunei,BRN,Asia,prebreeding_migration,Pre-breeding Migration,0.015,0.057,42,2023-03-15
Grey Plover,1,#e8a87c,Canada,CAN,North America,breeding,Breeding,55.317,58.062,35,2023-06-28
Grey Plover,1,#e8a87c,Canada,CAN,North America,nonbreeding,Non-breeding,0.256,0.392,0,2023-12-27
Grey Plover,1,#e8a87c,Canada,CAN,North America,postbreeding_migration,Post-breeding Migration,8.394,27.763,126,2023-07-19
Grey Plover,1,#e8a87c,Canada,CAN,North America,prebreeding_migration,Pre-breeding Migration,6.569,21.994,42,2023-05-24
Grey Plover,1,#e8a87c,Chile,CHL,South America,breeding,Breeding,0.142,0.182,35,2023-06-14
Grey Plover,1,#e8a87c,Chile,CHL,South America,nonbreeding,Non-breeding,0.062,0.122,98,2023-12-27
Grey Plover,1,#e8a87c,Chile,CHL,South America,postbreeding_migration,Post-breeding Migration,0.034,0.065,105,2023-11-01
Grey Plover,1,#e8a87c,Chile,CHL,South America,prebreeding_migration,Pre-breeding Migration,0.05,0.131,91,2023-03-15
Grey Plover,1,#e8a87c,China,CHN,Asia,breeding,Breeding,1.044,1.328,7,2023-07-12
Grey Plover,1,#e8a87c,China,CHN,Asia,nonbreeding,Non-breeding,19.364,25.225,98,2023-01-18
Grey Plover,1,#e8a87c,China,CHN,Asia,postbreeding_migration,Post-breeding Migration,32.27,45.588,140,2023-08-23
Grey Plover,1,#e8a87c,China,CHN,Asia,prebreeding_migration,Pre-breeding Migration,41.961,56.96,91,2023-04-19
Grey Plover,1,#e8a87c,Ivory Coast,CIV,Africa,nonbreeding,Non-breeding,0.011,0.016,14,2023-02-15
Grey Plover,1,#e8a87c,Colombia,COL,South America,breeding,Breeding,0.031,0.051,0,2023-07-12
Grey Plover,1,#e8a87c,Colombia,COL,South America,nonbreeding,Non-breeding,0.267,0.57,98,2023-02-15
Grey Plover,1,#e8a87c,Colombia,COL,South America,postbreeding_migration,Post-breeding Migration,0.104,0.248,126,2023-09-27
Grey Plover,1,#e8a87c,Colombia,COL,South America,prebreeding_migration,Pre-breeding Migration,0.055,0.219,77,2023-03-15
Grey Plover,1,#e8a87c,Comoros,COM,Africa,nonbreeding,Non-breeding,0.079,0.143,28,2023-12-06
Grey Plover,1,#e8a87c,Comoros,COM,Africa,postbreeding_migration,Post-breeding Migration,0.05,0.131,77,2023-11-29
Grey Plover,1,#e8a87c,Cape Verde,CPV,Africa,nonbreeding,Non-breeding,0.018,0.038,98,2023-02-08
Grey Plover,1,#e8a87c,Cape Verde,CPV,Africa,postbreeding_migration,Post-breeding Migration,0.026,0.062,49,2023-11-29
Grey Plover,1,#e8a87c,Cape Verde,CPV,Africa,prebreeding_migration,Pre-breeding Migration,0.014,0.025,63,2023-03-15
Grey Plover,1,#e8a87c,Costa Rica,CRI,North America,breeding,Breeding,0.215,0.338,35,2023-06-14
Grey Plover,1,#e8a87c,Costa Rica,CRI,North America,nonbreeding,Non-breeding,0.145,0.216,98,2023-12-20
Grey Plover,1,#e8a87c,Costa Rica,CRI,North America,postbreeding_migration,Post-breeding Migration,0.149,0.335,140,2023-09-20
Grey Plover,1,#e8a87c,Costa Rica,CRI,North America,prebreeding_migration,Pre-breeding Migration,0.098,0.173,91,2023-06-07
Grey Plover,1,#e8a87c,Cuba,CUB,North America,breeding,Breeding,0.303,0.657,35,2023-07-12
Grey Plover,1,#e8a87c,Cuba,CUB,North America,nonbreeding,Non-breeding,0.807,1.437,98,2023-02-22
Grey Plover,1,#e8a87c,Cuba,CUB,North America,postbreeding_migration,Post-breeding Migration,0.806,2.661,140,2023-10-11
Grey Plover,1,#e8a87c,Cuba,CUB,North America,prebreeding_migration,Pre-breeding Migration,0.341,0.917,91,2023-03-15
Grey Plover,1,#e8a87c,Curaçao,CUW,North America,nonbreeding,Non-breeding,0.013,0.028,98,2023-01-25
Grey Plover,1,#e8a87c,Cayman Islands,CYM,North America,breeding,Breeding,0.019,0.029,35,2023-07-12
Grey Plover,1,#e8a87c,Cayman Islands,CYM,North America,nonbreeding,Non-breeding,0.029,0.05,98,2023-02-15
Grey Plover,1,#e8a87c,Cayman Islands,CYM,North America,postbreeding_migration,Post-breeding Migration,0.012,0.048,140,2023-11-29
Grey Plover,1,#e8a87c,Germany,DEU,Europe,breeding,Breeding,0.539,1.18,35,2023-07-12
Grey Plover,1,#e8a87c,Germany,DEU,Europe,nonbreeding,Non-breeding,0.374,0.956,84,2023-12-27
Grey Plover,1,#e8a87c,Germany,DEU,Europe,postbreeding_migration,Post-breeding Migration,1.346,3.848,140,2023-08-02
Grey Plover,1,#e8a87c,Germany,DEU,Europe,prebreeding_migration,Pre-breeding Migration,0.458,1.287,77,2023-05-24
